name,time,BatV,Door_status,EXTI_Trigger,Hum_SHT31,TempC_SHT31,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rssi2,rx_time1,sf,snr1,snr2
s31lb,1746148435889170458,3.606,OPEN,FALSE,84.7,12.5,0,0,125000,3,1826,0,,eui-00007076ff031372,0,0,0,0,-117,-100,2025-05-02T01:13:55.575Z,7,-1,9
s31lb,1746149635654015958,3.606,OPEN,FALSE,85.4,12.4,0,0,125000,5,1827,0,,eui-00007076ff031372,0,0,0,0,-120,-101,2025-05-02T01:33:55.368Z,7,-6.5,9
s31lb,1746150835462078865,3.606,OPEN,FALSE,85.6,12.3,0,0,125000,2,1828,0,,eui-00007076ff031372,0,0,0,0,-118,-100,2025-05-02T01:53:55.161Z,7,-3,7.2
s31lb,1746152035258569613,3.606,OPEN,FALSE,86.6,12.2,0,0,125000,2,1829,0,,eui-00007076ff031372,0,0,0,0,-116,-101,2025-05-02T02:13:54.955Z,7,-3.2,6.8
s31lb,1746153235038367755,3.606,OPEN,FALSE,87.3,12.2,0,0,125000,0,1830,0,,eui-00007076ff031372,0,0,0,0,-119,-104,2025-05-02T02:33:54.749Z,7,-2.8,9.8
s31lb,1746154434838571573,3.606,OPEN,FALSE,87.8,11.8,0,0,125000,1,1831,0,,eui-00007076ff031372,0,0,0,0,-119,-101,2025-05-02T02:53:54.542Z,7,-2,8.8
s31lb,1746155634617968260,3.606,OPEN,FALSE,87.9,11.4,0,0,125000,6,1832,0,,eui-00007076ff031372,0,0,0,0,-118,-101,2025-05-02T03:13:54.336Z,7,-5.2,9.2
s31lb,1746156834416830719,3.606,OPEN,FALSE,88.9,11.2,0,0,125000,6,1833,0,,eui-00007076ff031372,0,0,0,0,-119,-101,2025-05-02T03:33:54.129Z,7,-8.5,8.8
s31lb,1746158034219461487,3.606,OPEN,FALSE,89.1,11.2,0,0,125000,3,1834,0,,eui-00007076ff031372,0,0,0,0,-118,-101,2025-05-02T03:53:53.923Z,7,-3,10.5
s31lb,1746159234020027061,3.606,OPEN,FALSE,90.2,11.7,0,0,125000,4,1835,0,,eui-7076ff0056070bb4,0,0,0,0,-102,-119,2025-05-02T04:13:53.718Z,7,9.2,-2
s31lb,1746160433799554242,3.606,OPEN,FALSE,88.7,12.9,0,0,125000,1,1836,0,,eui-7076ff0056070bb4,0,0,0,0,-104,-117,2025-05-02T04:33:53.510Z,7,8.8,-2
s31lb,1746161633600250468,3.606,OPEN,FALSE,86.5,13.1,0,0,125000,2,1837,0,,eui-00007076ff031372,0,0,0,0,-117,-101,2025-05-02T04:53:53.303Z,7,-0.5,7
s31lb,1746162833382326511,3.606,OPEN,FALSE,86.4,13.3,0,0,125000,7,1838,0,,unknown,0,0,0,0,-102,0,2025-05-02T05:13:53.096Z,7,6.8,0
s31lb,1746164033178624190,3.606,OPEN,FALSE,84.7,13.8,0,0,125000,0,1839,0,,eui-00007076ff031358,0,0,0,0,-104,-120,2025-05-02T05:33:52.889Z,7,9.5,-3.5
s31lb,1746165232986589399,3.606,OPEN,FALSE,83.5,14.5,0,0,125000,6,1840,0,,unknown,0,0,0,0,-100,0,2025-05-02T05:53:52.680Z,7,9.2,0
s31lb,1746166432781441943,3.606,OPEN,FALSE,81,15.3,0,0,125000,6,1841,0,,eui-7076ff0056070bb4,0,0,0,0,-101,-118,2025-05-02T06:13:52.477Z,7,10,-3.2
s31lb,1746167632557533842,3.606,OPEN,FALSE,77.8,16,0,0,125000,3,1842,0,,eui-00007076ff031372,0,0,0,0,-118,-100,2025-05-02T06:33:52.263Z,7,-2,9.2
s31lb,1746168832352854857,3.606,OPEN,FALSE,77.9,15.3,0,0,125000,5,1843,0,,unknown,0,0,0,0,-101,0,2025-05-02T06:53:52.053Z,7,9.2,0
s31lb,1746170032139057952,3.606,OPEN,FALSE,77.3,15.4,0,0,125000,2,1844,0,,eui-00007076ff031372,0,0,0,0,-119,-102,2025-05-02T07:13:51.844Z,7,-6.2,7
s31lb,1746171231947991958,3.606,OPEN,FALSE,80.1,15,0,0,125000,3,1845,0,,unknown,0,0,0,0,-101,0,2025-05-02T07:33:51.635Z,7,9.5,0
s31lb,1746172431721092556,3.606,OPEN,FALSE,86,14.4,0,0,125000,7,1846,0,,eui-7076ff0056070bb4,0,0,0,0,-118,-119,2025-05-02T07:53:51.426Z,7,-8,-1.8
s31lb,1746173631497995529,3.606,OPEN,FALSE,88.2,14.3,0,0,125000,0,1847,0,,eui-7076ff0056070bb4,0,0,0,0,-102,-119,2025-05-02T08:13:51.216Z,7,9.5,-0.8
s31lb,1746174831308810474,3.606,OPEN,FALSE,87,14.5,0,0,125000,6,1848,0,,unknown,0,0,0,0,-99,0,2025-05-02T08:33:51.007Z,7,8.8,0
s31lb,1746176031099805585,3.612,OPEN,FALSE,83.5,14.9,0,0,125000,7,1849,0,,unknown,0,0,0,0,-99,0,2025-05-02T08:53:50.798Z,7,7.5,0
s31lb,1746177230881618147,3.606,OPEN,FALSE,77.8,15.4,0,0,125000,4,1850,0,,unknown,0,0,0,0,-101,0,2025-05-02T09:13:50.589Z,7,8.8,0
s31lb,1746178430658307429,3.606,OPEN,FALSE,75.9,15.9,0,0,125000,4,1851,0,,unknown,0,0,0,0,-100,0,2025-05-02T09:33:50.380Z,7,9,0
s31lb,1746179630464795569,3.606,OPEN,FALSE,76.4,16,0,0,125000,1,1852,0,,unknown,0,0,0,0,-101,0,2025-05-02T09:53:50.170Z,7,8.8,0
s31lb,1746180830260799792,3.606,OPEN,FALSE,75.2,16.3,0,0,125000,2,1853,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-118,-99,2025-05-02T10:13:49.961Z,7,-1.8,7.8
s31lb,1746182030066186150,3.606,OPEN,FALSE,71.6,15.8,0,0,125000,7,1854,0,eui-00007076ff031372,unknown,0,0,0,0,-101,0,2025-05-02T10:33:49.752Z,7,8,0
s31lb,1746183229838649155,3.612,OPEN,FALSE,66.6,16.1,0,0,125000,0,1855,0,eui-7076ff0056070bb4,eui-00007076ff031372,0,0,0,0,-118,-98,2025-05-02T10:53:49.542Z,7,2,9.8
s31lb,1746184429628241009,3.606,OPEN,FALSE,69.6,15.8,0,0,125000,5,1856,0,eui-00007076ff031372,unknown,0,0,0,0,-98,0,2025-05-02T11:13:49.332Z,7,9.2,0
s31lb,1746185629408259084,3.606,OPEN,FALSE,63.2,16.6,0,0,125000,7,1857,0,eui-00007076ff031372,eui-7076ff0056070bb4,0,0,0,0,-100,-118,2025-05-02T11:33:49.121Z,7,7.2,-4.5
s31lb,1746186829204082232,3.612,OPEN,FALSE,65.1,16.2,0,0,125000,3,1858,0,eui-00007076ff032b3f,eui-00007076ff031372,0,0,0,0,-119,-98,2025-05-02T11:53:48.911Z,7,-9.5,10
