name,time,ADC1_V,BatV,Digital_IStatus,Door_status,EXTI_Trigger,Hum_SHT,TempC1,TempC_SHT,Work_mode,alt1,alt2,bw,chan1,f_cnt,freq1,gw1,gw2,lat1,lat2,lon1,lon2,rssi1,rx_time1,sf,snr1
sn50v3_kropp,1751503359970726145,0,3.618,L,OPEN,FALSE,98.1,0,17.1,IIC,0,0,125000,0,161,0,eui-00007076ff030d23,eui-00007076ff032add,0,0,0,0,-108,2025-07-03T00:42:39.686Z,7,9.2
sn50v3_kropp,1751504559780433718,0,3.618,L,OPEN,FALSE,98.2,0,17,IIC,0,0,125000,1,162,0,eui-00007076ff030d23,unknown,0,0,0,0,-104,2025-07-03T01:02:39.463Z,7,9
sn50v3_kropp,1751505759568516398,0,3.624,L,OPEN,FALSE,98.2,0,16.4,IIC,0,0,125000,5,163,0,eui-00007076ff030d23,unknown,0,0,0,0,-105,2025-07-03T01:22:39.239Z,7,9.2
sn50v3_kropp,1751506959338221361,0,3.618,L,OPEN,FALSE,98.3,0,16.2,IIC,0,0,125000,6,164,0,eui-00007076ff030d23,unknown,0,0,0,0,-102,2025-07-03T01:42:39.016Z,7,8.8
sn50v3_kropp,1751508159086539481,0,3.618,L,OPEN,FALSE,98.3,0,15.7,IIC,0,0,125000,3,165,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-120,2025-07-03T02:02:38.793Z,7,-1.5
sn50v3_kropp,1751509358871472087,0,3.618,L,OPEN,FALSE,98.3,0,15.4,IIC,0,0,125000,5,166,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-118,2025-07-03T02:22:38.571Z,7,-2.2
sn50v3_kropp,1751510558641376028,0,3.618,L,OPEN,FALSE,98.4,0,15.1,IIC,0,0,125000,2,167,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-120,2025-07-03T02:42:38.348Z,7,-5
sn50v3_kropp,1751511758461356198,0,3.624,L,OPEN,FALSE,98.4,0,14.8,IIC,0,0,125000,3,168,0,eui-00007076ff030d23,unknown,0,0,0,0,-107,2025-07-03T03:02:38.127Z,7,7.8
sn50v3_kropp,1751512958208422155,0,3.624,L,OPEN,FALSE,98.5,0,14.6,IIC,0,0,125000,0,169,0,eui-00007076ff032add,eui-00007076ff030d23,0,0,0,0,-120,2025-07-03T03:22:37.905Z,7,-3.2
sn50v3_kropp,1751514157983537793,0,3.618,L,OPEN,FALSE,98.5,0,14,IIC,0,0,125000,0,170,0,eui-00007076ff032add,unknown,0,0,0,0,-120,2025-07-03T03:42:37.683Z,7,-2.8
