name,time,gw1
s31lb,1746238420389170212,eui-00007076ff031372
s31lb,1746239620179626415,eui-00007076ff031372
s31lb,1746240819986426653,eui-00007076ff031372
s31lb,1746242019785580751,eui-00007076ff031372
s31lb,1746243219583480525,eui-00007076ff031372
s31lb,1746244419392010172,eui-00007076ff031372
s31lb,1746245619187884349,eui-00007076ff031372
s31lb,1746246818962651168,eui-00007076ff031372
s31lb,1746248018759280260,eui-00007076ff031372
s31lb,1746249218564361898,eui-00007076ff031372
s31lb,1746250418348671256,eui-00007076ff031358
s31lb,1746251618165073610,eui-00007076ff031372
s31lb,1746252817941862261,eui-00007076ff031372
s31lb,1746254017733827077,eui-7076ff0056070bb4
s31lb,1746255217552000818,eui-00007076ff031372
s31lb,1746256417327701982,eui-00007076ff031372
s31lb,1746257617131302636,eui-7076ff0056070bb4
s31lb,1746258816915900103,eui-00007076ff031358
s31lb,1746260016711300498,eui-00007076ff031372
s31lb,1746261216478970186,eui-7076ff0056070bb4
s31lb,1746262416311145213,eui-00007076ff031372
s31lb,1746263616102267952,eui-00007076ff031372
s31lb,1746264815872007757,eui-7076ff0056070bb4
s31lb,1746266015666077545,eui-00007076ff031372
s31lb,1746267215461293423,eui-00007076ff031372
s31lb,1746268415258771881,eui-7076ff0056070bb4
s31lb,1746269615053602206,eui-00007076ff031372
s31lb,1746270814855288165,eui-7076ff0056070bb4
s31lb,1746272014640961072,eui-00007076ff031372
s31lb,1746273214420973205,eui-00007076ff031372
s31lb,1746274414220899446,eui-7076ff0056070bb4
s31lb,1746275614001718621,eui-00007076ff031372
s31lb,1746276813785174885,eui-00007076ff031358
s31lb,1746278013585283679,eui-00007076ff031372
s31lb,1746279213371614191,eui-00007076ff031358
s31lb,1746280413156017380,eui-7076ff0056070bb4
s31lb,1746281612954995581,eui-7076ff0056070bb4
s31lb,1746282812762030448,eui-00007076ff031358
s31lb,1746284012543023600,eui-00007076ff031372
s31lb,1746285212343224041,eui-7076ff0056070bb4
s31lb,1746286412156563812,eui-00007076ff031372
s31lb,1746287611926643797,eui-00007076ff031358
s31lb,1746288811729247150,eui-00007076ff031372
s31lb,1746290011520040883,eui-7076ff0056070bb4
s31lb,1746291211329425086,eui-00007076ff031372
s31lb,1746292411121172800,eui-7076ff0056070bb4
s31lb,1746293610918101047,eui-7076ff0056070bb4
s31lb,1746294810698888884,eui-00007076ff031372
s31lb,1746296010505957401,eui-7076ff0056070bb4
s31lb,1746297210307063163,eui-7076ff0056070bb4
